Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
30/9/2025,OPT,PSE,Gaza Strip,"31,46959259","34,43115108",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118871,16/10/2025,16/10/2025
30/9/2025,OPT,PSE,Gaza Strip,"31,45195058","34,41072475",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118874,16/10/2025,16/10/2025
29/9/2025,OPT,PSE,Gaza Strip,"31,2830204","34,2805069","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118734,13/10/2025,14/10/2025
29/9/2025,OPT,PSE,Gaza Strip,"31,4851626","34,4146933",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118897,16/10/2025,16/10/2025
28/9/2025,OPT,PSE,Gaza Strip,"31,3084659","34,2865698",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118694,12/10/2025,12/10/2025
26/9/2025,OPT,PSE,Gaza Strip,"31,3084659","34,2865698",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118693,12/10/2025,12/10/2025
26/9/2025,OPT,PSE,Gaza Strip,"31,29292744","34,24986744",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118735,13/10/2025,14/10/2025
7/4/2025,OPT,PSE,Gaza Strip,"31,35762911","34,26229312",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Aid Systems, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Attack On a Market/Restaurant/Supermarket/Bakery, Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",95484,2/5/2025,18/9/2025
25/9/2025,OPT,PSE,Gaza Strip,"31,4586131","34,4442171",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118898,16/10/2025,16/10/2025
24/9/2025,OPT,PSE,Gaza Strip,"31,29292744","34,24986744",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118736,13/10/2025,14/10/2025
23/9/2025,OPT,PSE,Gaza Strip,"31,3084659","34,2865698",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118692,12/10/2025,12/10/2025
23/9/2025,OPT,PSE,Gaza Strip,"31,2830204","34,2805069","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118738,13/10/2025,14/10/2025
21/9/2025,OPT,PSE,Gaza Strip,"31,29696129","34,28386597",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118739,13/10/2025,14/10/2025
21/9/2025,OPT,PSE,Gaza Strip,"31,4586131","34,4442171",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118899,16/10/2025,16/10/2025
20/9/2025,OPT,PSE,Gaza Strip,"31,29292744","34,24986744",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118687,11/10/2025,14/10/2025
20/9/2025,OPT,PSE,Gaza Strip,"31,29556779","34,28628222",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118722,12/10/2025,14/10/2025
20/9/2025,OPT,PSE,Gaza Strip,"31,30084829","34,28164583",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118740,13/10/2025,14/10/2025
20/9/2025,OPT,PSE,Gaza Strip,"31,45400028","34,41123966",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118873,16/10/2025,16/10/2025
19/9/2025,OPT,PSE,Gaza Strip,"31,29696129","34,28386597",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118685,11/10/2025,14/10/2025
17/9/2025,OPT,PSE,Gaza Strip,"31,29696129","34,28386597","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118683,11/10/2025,14/10/2025
16/9/2025,OPT,PSE,Gaza Strip,"31,4732506","34,4275729",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118802,14/10/2025,14/10/2025
16/9/2025,OPT,PSE,Gaza Strip,"31,45400028","34,41123966",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118872,16/10/2025,16/10/2025
15/9/2025,OPT,PSE,Gaza Strip,"31,29696129","34,28386597",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118679,11/10/2025,14/10/2025
15/9/2025,OPT,PSE,Gaza Strip,"31,3443293","34,3095897","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118691,12/10/2025,12/10/2025
14/9/2025,OPT,PSE,Gaza Strip,"31,29274408","34,24990063",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118672,11/10/2025,14/10/2025
13/9/2025,OPT,PSE,Gaza Strip,"31,29696129","34,28386597",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118677,11/10/2025,14/10/2025
13/9/2025,OPT,PSE,Gaza Strip,"31,47054616","34,43217935",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118813,14/10/2025,14/10/2025
12/9/2025,OPT,PSE,Gaza Strip,"31,27561659","34,25467579",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118670,11/10/2025,14/10/2025
12/9/2025,OPT,PSE,Gaza Strip,"31,54977","34,5024697",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118730,12/10/2025,13/10/2025
26/3/2025,OPT,PSE,Gaza Strip,"31,44821579","34,39340829",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,"Food Supply, Aid Systems","Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints, Attack On Aid Workers Carrying Out Food-Related Programme, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",95347,30/4/2025,18/9/2025
11/9/2025,OPT,PSE,Gaza Strip,"31,27561659","34,25467579",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118669,11/10/2025,14/10/2025
11/9/2025,OPT,PSE,Gaza Strip,"31,54977","34,5024697",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118728,12/10/2025,13/10/2025
11/9/2025,OPT,PSE,Gaza Strip,"31,54977","34,5024697",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118729,12/10/2025,13/10/2025
11/9/2025,OPT,PSE,Gaza Strip,"31,4851626","34,4146933",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118811,14/10/2025,14/10/2025
11/9/2025,OPT,PSE,Gaza Strip,"31,44821579","34,39340829",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118812,14/10/2025,14/10/2025
11/9/2025,OPT,PSE,Gaza Strip,"31,45436631","34,41149717",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118896,16/10/2025,16/10/2025
25/9/2025,OPT,PSE,Gaza Strip,"31,504","34,4639",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,Attack On a Market/Restaurant/Supermarket/Bakery,118048,5/10/2025,5/10/2025
10/9/2025,OPT,PSE,Gaza Strip,"31,3443293","34,3095897","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118659,11/10/2025,11/10/2025
10/9/2025,OPT,PSE,Gaza Strip,"31,46000339","34,4181057",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118875,16/10/2025,16/10/2025
9/9/2025,OPT,PSE,Gaza Strip,"31,2964479","34,28334916",(5) Linear feature e.g. along a road or river,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118676,11/10/2025,14/10/2025
9/9/2025,OPT,PSE,Gaza Strip,"31,3443293","34,3095897","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118690,12/10/2025,12/10/2025
8/9/2025,OPT,PSE,Gaza Strip,"31,3084659","34,2865698",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118658,11/10/2025,11/10/2025
7/9/2025,OPT,PSE,Gaza Strip,"31,3511","34,2934","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",118712,12/10/2025,12/10/2025
